3,"一 隻 豬 食 十 二 桶 潘","大 肚"
3,"海結仔 無 抹油","憨頭憨面"
3,"烏糖 攪 泔","米糕瘍"
2,"八仙 過海","各 顯 神通"
3,"羅漢骹仔 請 觀音","一 客 九 主人"
3,"米篩目 包餡","朆做咧"
3,"菩薩 放屁","神氣"
3,"鴨仔 過 溪","無 潦 無聊"
3,"觀音媽 偷食 魚仔膎","冤枉 人"
3,"台北人 唱 思相起","南 腔 北 調"
3,"老 牛 拖車","行 一 步 算 一 步"
3,"豬 八戒 嫁 小妹","免 看"
3,"火燒 東港","全 無網 全 無望"
2,"放尿 搣 鹹菜","順續工"
1,"烏龜 碰著 壁","罔掠"
3,"龜 爬 戶埞","看 按怎 翻身"
1,"牛蜱","有 入 無 出"
3,"孤兒院","老 不 收 老不修"
3,"棺柴 頂 黏 尪仔","朆 堪得 弄"
2,"金斗甕 入水","激骨"
1,"三碗飯 兩碗 湯","相倚傍 兩 夫妻"
3,"跋落 屎礐仔","臭人"
2,"大腹肚 拉 褲","無差"
1,"寡婦 無愛 嫁","老守 老手"
3,"鴨母 給 雞角仔 搭著","呣達 呣值"
1,"竹栱 底 夾 土豆仁","一粒一"
2,"烏仔魚 箭水","呣 認輸"
1,"瘂口 相唚","好 到 無話講"
1,"四兩 豬肉 切 兩 盤","好看 佫 省錢"
3,"樹林內 放風吹","紇紇纏"
3,"石火 唱歌","煩惱 朆 了"
2,"村長 甩 撚骰仔","緊著看無"
3,"檨仔 在欉黃 的","無穩"
1,"十 二 月 芥菜","有心"
3,"棺柴 底 辯話骨","死諍"
1,"成吉思汗 放屁","有 元氣"
2,"雞母 屎","半烏白"
3,"乞食 爭 巷仔頭","爭 小利"
3,"鴨 蛋 塞 石車","無採工"
1,"青瞑 娶 娒","暗爽"
3,"機關 安佇 倉庫","其中 必 有 緣故"
3,"土地公 看 京戲","亂 糟糟"
3,"狗 咬 鳥鼠","管 閒事"
3,"露螺 爬 去 竹篙尾","盡磅"
3,"囡仔 食 田螺","吱吱 啾啾"
3,"肚 臍 抹 粉","醜臍 醜才"
3,"阿明 賣 魚仔","量約"
3,"七 個人 睏 兩 頭","顛 三倒 四"
3,"竹篙尾 纏 麵線","紇紇纏"
3,"狗 咬 烏龜","找 無 頭"
2,"蠓仔 叮 雞 蛋","無 孔 不 入"
2,"仙人 扑 鼓","有時 錯"
3,"乞食 下大願","不 能 實 現"
3,"長 工 興 落雨","歡喜 歇睏"
3,"草茨 裝 鐵窗","無四配"
3,"大 水流 破布","流到 破 留 到 破"
2,"青瞑 爬 樓梯","自摸"
2,"西北雨","大落"
1,"裁縫 師 掛目鏡","認針 認真"
2,"初一早 見面","攏 講好話"
1,"火燒 林投","朆 死心"
2,"新婦","不孝 公投"
3,"新婦 向 大倌 借錢","挪用公款"
3,"八戒 成 仙","豬哥神"
1,"半暝 吹 電風","暗爽"
3,"胡萬立 騎 烏托醜","食到今旦日"
2,"一 骹 踏上 磅仔台","舉 足 輕重"
3,"無 奶 假 病子","裝暢"
3,"關 門 扑 狗","無 地 走"
3,"西螺 畚箕","捾 一支喙"
3,"查甫人 夢洩","走精"
3,"炮仔 浸 水","一 聲 不 響"
1,"瘟痀 娶 大 肚","合合"
3,"司機 辭職","想呣開"
3,"棕 蓑 胡螓","食毛 食無"
3,"擔 沙 坉海","無採工"
3,"一 個人 食 圓仔","獨吞"
3,"飛行機 頂 彈琴","高調"
2,"半 斤 換 八 兩","誰 也 無 食虧"
1,"清明 無 轉去 茨","無祖 無 阻"
3,"老 壽星 唱曲","老 調"
3,"先生 節脈","摸栱 罔講"
3,"空手 捕 魚","無 劉 無望"
1,"缺喙 賣 蜊肉","合合"
3,"瘟痀 放屁","彎曲 冤曲"
3,"食 紅柿 配 燒酒","存辦死"
3,"臭耳聾 醫生","無 聽 病人 咧 呻"
1,"老人 食補","老 熱"
3,"幼齒 嫁 老尪","足 醜 潲"
3,"用 麵線 網 鴨母","一去無回"
2,"烏矸仔 貯 豆油","無底看"
2,"神明 跋落 溝 底","流神 留神"
2,"掖尾狗","假鹿 假樂"
2,"線 穿 針","拄仔好"
2,"見面 流鼻血","親 就是 親"
3,"便所 蠟燭","臭火 臭颺"
3,"火燒 乞食 寮","禍 不 單行"
3,"在欉黃 的","無穩"
3,"半 路斷 畚 擔","中斷"
3,"火燒 網仔寮","無網 無望"
3,"庒骹 鑼鼓陣","咚咚 喳 冬冬 慘"
2,"摸 蜊仔 兼 洗褲","一兼二顧"
2,"城隍爺 出巡","大 戴誌"
3,"大雞公 呣食 碎米","看無 在 眼 內"
3,"內山 舉人","草地倯"
3,"半 斤 拄 八 兩","呣 知輕重"
2,"海口 囡仔 拔牌仔","無插"
3,"大 船 入 死 港","無 路 駛"
1,"腹肚 內 駛船","內航 內行"
3,"頷頸 生瘤","拄 著 遇著"
3,"蠓仔 叮 膦脬","歹扑"
3,"鬼仔 算 舊 帳","活 該"
3,"澎湖 菜瓜","十棯 雜唸"
3,"日本 藝妲","大色"
3,"食 滾水 放 茶米茶","火大"
3,"本山人","散仙"
3,"泉州人 賣 米粉","無汝份"
2,"鴨仔 聽雷","聽無"
2,"火燒 相 館","燒 相 相同"
3,"吊鼎","無 米 通 煮"
1,"路邊 莧菜","閒莧 榮幸"
2,"攑 刀 割 肉","戮 落去"
3,"四面 桌 欠 一 骹","朆在 朆多"
3,"籠床 貓","顧 粿"
3,"尻川 夾 火金姑","裝星"
3,"瘟痀 扑 拳頭","出力 佫 歹看"
1,"囡仔 食 甘蔗","嚐 到 甜頭"
3,"碗公 煎茶","擋朆稠"
3,"囡仔 食桌","搣了 沒了"
3,"客人仔 賣 花矸","朆給 人 姦"
3,"烏人 繪 烏人","無影無跡"
1,"裁縫 做 衫 無 用尺","自有 分寸"
3,"大 石頭 底 毛蟹","壓霸"
3,"尿桶 缺喙","礙 膦"
1,"燈火尾 在 倒 光","迴光反照"
3,"閻羅王 無 戴 帽","鬼 頭 鬼 腦"
3,"日本 凊飯","壽 司 輸死"
3,"石火 唱歌","煩惱 佫 再 煩惱"
1,"蘇 州 目鏡","在人 合目"
2,"烏雞 生 白雞蛋","事實 如此"
1,"無牙仔 食豆腐","拄拄好"
3,"七月半鴨","呣 知死"
3,"武器 外銷","出口 傷 人"
3,"外嬤 死 後生","沒 舅 了 沒救了"
3,"羅漢骹仔","四界踻"
2,"查娒人 喙齒","女牙 汝的"
3,"郵差 扑呣見 批","失信"
3,"瘟痀 放屁","彎曲 冤屈"
3,"大炮 扑 茨鳥仔","真 無採"
3,"食 蟳","愛栱 愛 講"
3,"墨鰂仔 頭","無 血 無 目屎"
2,"半暝 死尪","誤妻 梧棲"
3,"兩 代 的 寡婦","無 公 夫 無 工夫"
3,"菜瓜 摃 狗","去一截"
1,"乞食 返茨","到營 倒贏"
3,"乞食婆 做月內","愛 啥物 無 啥物"
1,"自動車 輾 死牛","沒 事"
3,"接骨館 看 做 排骨飯","差 多 囉"
3,"白矸仔 貯 墨水","烏 到 心"
2,"有應公 廟 的 象杯","結做伙"
3,"看 三國 演義 流目屎","替 古 人 擔憂"
2,"裁縫 做 衫","要 量 身 要 良心"
1,"國 民黨","食 免驚"
3,"矮仔人 騎馬","上 下 兩難"
3,"死蛇","朆 翻身"
3,"查甫人 穿 奶 䘥 仔","朆博假博"
3,"吳郭魚仔 假 赤鯮","無夠 紅"
3,"乞食 跋倒","摔栱 哈講"
3,"水淹 到 頷頸","拄 著"
1,"八芝蘭 米糕","食 有 續"
3,"番仔 牛","無 桊鼻 無 管制"
1,"有 箌柄","好櫸 好額"
3,"草人 扑 火","自 身 難保"
3,"灶君 上 天庭","灶話 奏話"
1,"查娒 嫺 嫁 大 爺","好名聲"
3,"金山 查娒","礦區 女 控固力"
3,"乞食 趕 廟公","天地 顛到摒"
3,"未曾 燒香 扑斷 佛手","青狂"
3,"荷蘭 汽水","食 一 點 氣"
2,"膦屌 入 烏豆","假目"
3,"孔子 搬茨","攏 書 攏 輸"
3,"狗 食 麥片","食朆消"
1,"土地公 呣驚 風雨","老神在在"
3,"反共 義士 轉去 大陸","反起反倒"
3,"鳥鼠 走入 冊房 內","食本 蝕本"
3,"縣老爺 落轎","步行 不 行"
3,"乞食 做 皇帝","呣知 按怎 做"
3,"傀儡尪仔","有 抽 即 有 震動"
1,"縣老爺 審 老爹","公事 公 辦"
2,"蕭公 豆油 錢","用劃 用話"
2,"青瞑 掠龍","手面 趁食"
3,"與 日本人 喝 酒","大矸 大奸"
2,"姜太公 釣魚","願 者 上鈎 願 者 成交"
3,"茫霧 看 花","愈看愈花"
3,"烏牛 大影","好 看無 好食"
1,"落花 滿 地","都 謝 多謝"
3,"叫 秀才 擔擔","挑 擔 刁難"
2,"庭鶖仔 拍手槍","有 紀 錄 喔"
3,"新 來 新娘 月內 幼 子","僫 款待"
3,"骹頭窩 戴 宣帽","呣是 人面"
3,"大麵 炒 圓仔","紇紇纏"
3,"客人仔 穿 鞋","著靴 足壞"
3,"乞食 過日子","靠 別人 施捨"
3,"無牙仔 唸 祭文","含糊 其 詞"
2,"中藥 食 朆好","換帖"
3,"海龍王 辭水","假細膩"
3,"麥芽膏 罐頭","愛人撟 愛人譙"
3,"棺柴 底 鳥鼠","吵死人"
2,"土公仔 洗手","坮完 台灣"
1,"矮仔人 爬 樓梯","步步 高升"
3,"閻羅王 心機","詭計多端"
3,"空喙哺舌","食言"
3,"老阿婆 生 子","真拚"
3,"烘 鱔魚","燒鰻 相瞞"
2,"老和尚 扑 囡仔","無 即 款 戴誌"
2,"萬一仔 食 枝仔冰","一牛車"
2,"土地公 帶班","勞神 了"
2,"皇帝 的娒","娘娘 涼涼"
1,"棉被 內 放屁","能 聞 能 摀 能 文 能 武"
1,"孔子公 放屁","文 氣沖天"
2,"帝爺公 童乩","事事 介 在 汝家己"
1,"和尚 行 當店","廟急 妙 極"
3,"關 門 做 皇帝","自滿 自大"
3,"半 路斷 扁擔","中斷"
3,"呣 知輕重","無 度量 無肚量"
1,"頭殼 戴 電扇","佔上風"
2,"八 十 歲 童 生","無 考 無不 考 無 可 無不 可"
2,"老 幼 皆 好人","大細善 大細疝"
3,"外省人 食 檸檬","酸 溜"
2,"張天師 落海","摸怪 莫怪"
3,"樟腦寮 蠓罩","厚操煩"
3,"老猴 穿 花衫","無四配"
3,"貓仔 爬 樹","無 成 猴 無 成樣"
3,"天公 的 帳簿","大冊 大恨"
3,"狗 舐 淺盤","鼻 有 食無"
1,"燒鼎 炒 蝦仔","連蹦帶跳"
3,"拍賣 貨底","凊 採 講講 咧"
3,"阿啄仔 穿 西裝","大軀 大輸"
3,"路燈","一葩火 一腹火"
1,"閻羅王 的 查娒 子","查娒 鬼仔"
3,"牛 牽 到 北 京 嘛是 牛","朆 變"
3,"尼姑 頭殼頂 插花","無髮 無法"
3,"呂洞賓 的 棉被","蓋仙"
3,"彰化 鹿港","施 一 半 死 一 半"
3,"飛行機 頂 寫 文章","高 論"
3,"七元 對分","不 三 不 四"
1,"六 出 祁 山","拖老命"
3,"起茨 按半料","誤 算"
3,"青瞑 挨弦仔","無譜"
3,"二 三 五六七","無 一 無 四 無 衣 無 食"
2,"九 塊 碗 十个 人客","加 人 基隆"
2,"烏矸仔 貯 豆油","看朆出來"
3,"水牛 腹肚","草 包"
3,"日本 美食","給伊 死"
3,"牛角 內 的 蟲","硬 鑽"
3,"違章 建築","無 照 起工"
3,"人心 隔 一 堵 牆","歹看"
3,"閻羅王 娶 娒","姦鬼 奸鬼"
