,"﻿阿斗當皇帝","軟弱無能"
,"阿斗的江山","白送"
,"阿二（民間傳說中的呆頭呆腦、自作聰明的人）炒年糕","費力不討好；費勁不落好"
,"阿公吃黃連","苦也（爺）"
,"阿拉伯數字8字分家","零比零（O：O）"
,"阿奶抱孫子","老手"
,"阿婆的鞋","老樣子"
,"阿婆留鬍子","反常"
,"阿慶嫂倒茶","滴水不漏"
,"挨鞭子不挨棍子","吃軟不吃硬"
,"挨打的狗去咬雞","拿別人出氣"
,"挨打的山雞","顧頭不顧尾"
,"挨了巴掌賠不是","奴顏媚骨"
,"挨了棒的狗","垂頭喪氣；氣急敗壞"
,"挨了打的鴨子","亂竄"
,"挨了刀的肥豬","不怕開水燙"
,"挨了刀的皮球","癟了"
,"挨了霜的狗尾巴草","蔫了"
,"挨著火爐吃海椒（辣椒）","裡外發燒"
,"矮夫矬（cuo 矮）妻","各有短處"
,"矮梯子上高房","搭不上盲（簷）"
,"矮子不吃饅頭","想高（糕）"
,"矮子踩高蹺","取長補短"
,"矮子穿長袍","拖拖拉拉"
,"矮子穿木屐（mu ji木板拖鞋）","自高自大"
,"矮子打呵欠","氣兒不長"
,"矮子打牆","只有一半"
,"矮子放屁","低聲下氣"
,"矮子跟著長子（身材高的人）走","多跑幾步路"
,"矮子過河","安（淹）心"
,"矮子看戲","人云亦云"
,"矮子裡面拔將軍","將就材料；短中取長"
,"矮子面前說短話","惹人多"
,"矮子爬坡","步步高陞"
,"矮子排隊","倒數第一"
,"矮子騎大馬","上下兩難；上下為難"
,"矮子上樓梯","步步高陞"
,"矮子推掌","出手不高"
,"矮子坐高凳","上下搆不著，上下為難"
,"愛吃香的有臘腸，愛吃甜的有蜜糖","對味"
,"愛打半邊鼓","旁敲側擊"
,"愛叫的鳥","不做窩"
,"安祿山起兵","反了"
,"庵廟裡的尼姑","沒福（夫）"
,"庵堂（尼姑庵）裡的木魚","任人敲打"
,"岸邊的青蛙","一觸即跳"
,"岸上看人溺水","見死不救"
,"岸上撈月","白費功夫"
,"按雞頭啄米","白費心機（比喻不能強迫人去做不願做的事。）"
,"按老方子吃藥","還是老一套"
,"按下葫蘆起了瓢","顧了這頭丟那頭；此起彼落；此起彼伏；顧此失彼"
,"按著葫蘆挖籽","挖一個少一個"
,"按著腦袋往火炕裡鑽","憋氣窩火"
,"按著牛頭喝水","勉強不得"
,"案板底下放風箏","飛不起來"
,"案板頂門","管得寬"
,"案板上的搟麵杖","光棍一條"
,"案板上的狗肉","上不了席"
,"案板上的肉","任人宰割"
,"案板上砍骨頭","乾乾脆脆"
,"案上砍骨頭","乾脆利索；乾脆"
,"暗地裡耍拳","瞎打一陣"
,"暗洞裡裹腳","瞎纏"
,"暗室裡穿針","難過"
,"暗鎖加明鎖","層層設防"
,"暗灘上行船","危險性大"
,"暗屋裡穿針","難過"
,"暗中使絆子","蔫（nian悄悄地；不聲不響地）壞"
,"骯髒他娘哭一夜","骯髒死啦"
,"鏊子（ao zi烙餅的炊具。鐵製圓形平底）裡攤餅","不敢（搟）"
,"鏊子上烙冰","化湯了"
,"鏊子上烙餅","翻來覆去"
,"八磅大錘釘釘子","穩紮穩打"
,"八寶飯摻糨子（jiang zi糨糊）","糊塗到兒了"
,"八寶飯裡撒鹽巴","又添一味"
,"八十歲老太學吹打","上氣不接下氣"
,"八十歲奶奶搽胭脂","老來俏"
,"八尺溝濱（bang小河）六尺跳板","搭不上"
,"八哥的嘴巴","隨人說話；能說會道"
,"八哥啄柿子","揀軟的欺"
,"八個麻雀抬轎","擔當不起"
,"八個錢算命","哪能包你"
,"八股文的格式","千篇一律"
,"八虎（《楊宋將》中楊繼業的八個兒子）闖幽州","死的死，丟的丟（比喻損失太大。）"
,"八里莊的蘿蔔","心里美"
,"八畝地裡一棵谷","就這一"
,"八匹馬拉不開","難分難解"
,"八千歲留鬍子","大主意個人拿"
,"八十老太學吹打","上氣不接下氣"
,"八十老翁吹喇叭","有氣無力"
,"八十歲比高低","老當益壯"
,"八十歲吹喇叭","壽長氣短"
,"八十歲的阿婆","老掉牙了"
,"八十歲公公耍猴子","老把戲"
,"八十歲公公挑擔子","心有餘而力不足"
